Yellow,Red
BIICX,FGRAX
BAICX,OIDAX
  HIBL,VKMMX
EXMAX,POLIX
HHMAX,ASBAX
JHSC,QDF
JNBSX,ITHAX
DIFIX,SMMV
PBDPX,PBDAX
PIUHX,ETIHX
CWI,FDN
VEU,HSLAX
VASGX,JMVAX
GBLAX,PBYMX
FMBPX,PUSYX
FFALX,AMKIX
GTEYX,    DBLTX
OOSAX,FAARX
OHYFX,PARMX
MRFIX,VSMGX
HYLB,VTWO
AMLP,ACIIX
CIGAX,ANCFX
PSR,FINFX
OIGAX,FUNFX
   OIGYX  ,RODM
ISHAX,WAARX
JHYMX,PDCZX
HYMAX,FBIOX
MMHYX,EFAV
MMIIX,JOEQX
PTTPX,MDIV
ISTB,SPFZX
MAFRX,MAMTX
TLVAX,PTLAX
AMCPX,EGFFX
AMCFX,FFRSX
AGTHX,MPEGX
MADVX,BOPAX
MDDVX,    TGMNX
DDVIX,LMNSX
FBTAX,OPGIX
FISEX,OGIYX
HGHAX,PCKAX
HGHIX,EDC
HFMCX,LABU
HMDFX,PCY
HFMIX,MGGIX
TLT,TRSAX
HDV,TRBCX
LFRAX,PRMSX
MFEGX,HIEMX
SCHV,TWEAX
SRLN,ARKK
DIA,HYD
WGIFX,SBIO
FMB,XBI
FKQTX,DFDIX
PGF,NYVTX
JNBAX,   CPODX
LBNDX,RODM
PUCPX, SPFZX   
ANEFX,
MDHQX,
PDBZX,
RWR,
VBK,
ACINX,
COMB,
SCHM,
FHYSX,
HAIAX ,
HGIIX,
LGH,
NEZYX,
PSRAX,
DEVIX,
HFLAX,
HDVAX,
IHOAX,
ABRZX,
ABRYX,
GOVT,
VTIAX,
CWGIX,
ELGAX,
FRERX,
HACAX,
HCAIX,
JFGIX,
GOGIX,
JIGTX,
PTTAX,
SHM,
 RSGRX,
AIBAX,
FDIAX,
SCUVX,
SPLV,
IWD,
LVOAX,
LVOYX,
PPSAX,
PPSIX,
SCHA,
AUEIX,
LAIAX,
ETVAX,
GATEX,
IWS,
DIFAX,
MINT,
BIL,
XAR,
HIGJX,
CLAZX,
SVAIX,
FBSOX,
HNCFX,
OIDYX,
SLV,
GAOAX,
GAOSX,
MEIIX,
MEIKX,
APDSX,
TNA,
FKAIX,
HGOIX,
BNDW,
GBIL,
AIIEX,
TRULX,
HGOAX,
IBB,
NMVLX,
VHCAX,
HRCVX,
ITTAX,
SCZ,
POEAX,
TGBAX,
TPLNX,
VIDI,
PGX,
USGRX,
GWMEX,
MDFGX,
EGFIX,
FTRI,
FBT,
LQD,
EMB,
JSFDX,
PDBAX,
BSV,
VWUAX,
IWM,
MDNLX,
ITHIX,
USMV,
WOOPX,
DHLRX,
SKYY,
IWN,
MEIAX,
BNDX,
BEXIX,
DEMAX,
FKBAX,
FMB,
HGIIX,
SVAIX,
